LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD
"e $150,000-350,000",ROBINTINOS LLC,2598 E Cypress Way,COTTONWOOD HEIGHTS,UT,84121,,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,76,05/01/2020,"JPMorgan Chase Bank, National Association",UT-03
c $1-2 million,THE PROTRADE GROUP LLC,5700 Darrow Road Ste 114,HUDSON,OH,44236,423930,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,81,04/15/2020,The Huntington National Bank,OH-14
"d $350,000-1 million","OMIMEX ENERGY, INC.",7950 John T. White Rd,FORT WORTH,TX,76120,211120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,04/29/2020,"Bank of America, National Association",TX-33
"d $350,000-1 million",BLACKBURN MOTOR COMPANY,2135 FRONTAGE RD,VICKSBURG,MS,39180,441110,Corporation,Unanswered,Unanswered,Unanswered,,48,04/13/2020,BancorpSouth Bank,MS-02
"d $350,000-1 million","ORAL ROBERTS EVANGELISTIC ASSOCIATION, INC.",6355 E. Skelly Drive,TULSA,OK,74135,813219,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,54,04/07/2020,"BOKF, National Association",OK-01
c $1-2 million,"SENTRY SECURITY COMPANY, INC.",980 ALDUS ST,BRONX,NY,10459,561612,Corporation,Unanswered,Unanswered,Unanswered,,0,04/28/2020,Signature Bank,NY-15
"e $150,000-350,000",ALAN H LANDMAN PA,7195 MURRELL ROAD SUITE 102,MELBOURNE,FL,32940,541110,Corporation,Unanswered,Unanswered,Unanswered,,0,04/30/2020,"Wells Fargo Bank, National Association",FL-08
"e $150,000-350,000",INNER CITY ELECTRICAL CONTRACTORS INC,160 21st Street,BROOKLYN,NY,11232,238210,Corporation,Unanswered,Unanswered,Unanswered,,17,04/13/2020,Manufacturers and Traders Trust Company,NY-07
"e $150,000-350,000",CMT CENTRAL SERVICES INC.,3410 Pebblecreek Pl,CHAMPAIGN,IL,61822,722511,Corporation,Unanswered,Unanswered,Unanswered,,0,04/09/2020,Busey Bank,IL-15
"e $150,000-350,000",FOX TOWING & TRUCK SERVICE INC.,29 W CURRY RD,WILMINGTON,OH,45177,488410,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,14,04/04/2020,The Huntington National Bank,OH-15
"d $350,000-1 million",MARINE TRANSPORT INC,400 Rt 34 Suite B,MATAWAN,NJ,07747,484121,Corporation,Unanswered,Unanswered,Unanswered,,0,04/10/2020,"TD Bank, National Association",NJ-06
"d $350,000-1 million",HARRIS ROAD COMPANY,2405 FM 3237,WIMBERLEY,TX,78676,237310,Corporation,Unanswered,Male Owned,Unanswered,,41,04/03/2020,Sage Capital Bank,TX-25
b $2-5 million,EUREKA STONE QUARRY INC,800 LOWER STATE RD,CHALFONT,PA,18914,212319,Corporation,Unanswered,Unanswered,Unanswered,,145,04/12/2020,"TD Bank, National Association",PA-01
"e $150,000-350,000","SAGITTARIUS HAIR DESIGNS, LTD.",1136 CONRAD CT,HAGERSTOWN,MD,21740,812112,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,29,04/06/2020,Middletown Valley Bank,MD-06
"e $150,000-350,000","HMG STRATEGY, LLC",191 POST RD W,WESTPORT,CT,06880,541611,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,23,04/27/2020,"Newtek Small Business Finance, Inc.",CT-04
"e $150,000-350,000",DT PIZZA LLC,2517 GOLDENROD WAY,TALLAHASSEE,FL,32311,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,45,04/28/2020,Peoples Bank,FL-02
"d $350,000-1 million","EDGEWOOD CONVALESCENT HOME, INC.",513 Bell Street,EDGEWOOD,IA,52042,623110,Corporation,White,Male Owned,Non-Veteran,,49,04/09/2020,Central Bank,IA-01
c $1-2 million,"HOPE FOR YOUTH, INC.",201 DIXON AVE,AMITYVILLE,NY,11701,624110,Corporation,Unanswered,Unanswered,Unanswered,,150,04/27/2020,BNB Bank,NY-02
"e $150,000-350,000",ST. JOHN NEUMANN CHURCH,5101 ALTON PKWY,IRVINE,CA,92604,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,06/19/2020,Farmers & Merchants Bank of Long Beach,CA-45
"e $150,000-350,000",MAHALAK AUTO GROUP LLC,190 AVENUE K,WINTER HAVEN,FL,33880,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/14/2020,First Merchants Bank,FL-17
"e $150,000-350,000",KING OF GLORY LUTHERAN CHURCH AND SCHOL,4897 Longhill Rd,WILLIAMSBURG,VA,23188,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,04/15/2020,Citizens and Farmers Bank,VA-01
"e $150,000-350,000",PREMIER ONE AUTOS,3097 Presidential Drive,Atlanta,GA,30340,484110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,05/08/2020,Cross River Bank,GA-04
"e $150,000-350,000","SOUTHERN SHUTTER COMPANY, INC",100 COFFEE ST,MONTGOMERY,AL,36104,444110,Corporation,Unanswered,Unanswered,Unanswered,,39,04/05/2020,ServisFirst Bank,AL-02
"e $150,000-350,000",9TH AVE BLUE LLC,856 9TH AVE,NEW YORK,NY,10019,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,05/01/2020,"JPMorgan Chase Bank, National Association",NY-10
"d $350,000-1 million",COSTICH ENGINEERING LAND SURVEYING AND LANDSCAPE ARCHITECTUR,271 LAKE AVE,ROCHESTER,NY,14608,541370,Corporation,Unanswered,Unanswered,Unanswered,,36,04/03/2020,The Canandaigua National Bank and Trust Company,NY-25
"e $150,000-350,000","NATURE-SCAPE, INC.",24860 CALABASAS RD,CALABASAS,CA,91302,541320,Corporation,Unanswered,Unanswered,Unanswered,,40,04/29/2020,Manufacturers Bank,CA-30
c $1-2 million,"WESTMORELAND ELECTRIC SERVICES, LLC",193 CENTRAL RD,TARRS,PA,15688,238210,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,105,04/15/2020,The Farmers National Bank of Emlenton,PA-14
"e $150,000-350,000",MONREAL FRAMING CORPORATION,7919 THOMAS SPRINGS RD,AUSTIN,TX,78736,238130,Corporation,White,Male Owned,Non-Veteran,,5,04/05/2020,"Horizon Bank, SSB",TX-25
"d $350,000-1 million",CHURCH CHURCH HITTLE & ANTRIM,2 North 9th Street,NOBLESVILLE,IN,46060,541110,Partnership,Unanswered,Unanswered,Unanswered,,45,04/08/2020,BMO Harris Bank National Association,IN-05
"d $350,000-1 million",ONLY TREES LLC,208 JUNO ST,JUPITER,FL,33458,561730,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,43,04/10/2020,The Dart Bank,FL-18
c $1-2 million,"PARADIGM NATIONAL CONSULTANTS, LP",200 WESTLAKE PARK BLVD. SUITE 501,HOUSTON,TX,77079,541519,Partnership,Unanswered,Unanswered,Unanswered,,35,04/11/2020,Hancock Whitney Bank,TX-07
"e $150,000-350,000","KOSTKA TAYLOR, LLC",1711 Route 46,Parsippany,NJ,07054,541211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,04/29/2020,"Santander Bank, National Association",NJ-11
"e $150,000-350,000",THE FOUNDRY SOFTWARE DEVELOPMENT COMPANY,"677 Craig Road, Suite 217",SAINT LOUIS,MO,63141,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,04/11/2020,Commerce Bank,MO-02
"d $350,000-1 million",BLUE ISLAND CITIZENS FOR PERSONS WITH INTELLECTUAL DISABILIT,2155 BROADWAY,BLUE ISLAND,IL,60406,623210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,82,04/14/2020,FNBC Bank and Trust,IL-01
"d $350,000-1 million","FLOZONE MEASUREMENT, LTD.",3981 S COUNTY ROAD 1297,ODESSA,TX,79765,532412,Partnership,Unanswered,Unanswered,Unanswered,,65,04/08/2020,SouthWest Bank,TX-11
c $1-2 million,BARCLAY BRAND CORP,2401 S CLINTON AVE,SOUTH PLAINFIELD,NJ,07080,811310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,96,04/13/2020,"PNC Bank, National Association",NJ-06
"e $150,000-350,000",ALLSTATE PLUMBING LLC,5125 S Valley View Blvd,Las Vegas,NV,89118,238220,Corporation,Unanswered,Unanswered,Unanswered,,34,05/01/2020,WebBank,NV-03
"e $150,000-350,000","ARBORFORCE, LLC",12263 2ND ST,PARKER,CO,80134,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,23,05/03/2020,"U.S. Bank, National Association",CO-04
"e $150,000-350,000","ACR TECHNICAL SERVICES, INC",710 Industrial Park Dr,NEWPORT NEWS,VA,23608,541380,Corporation,Unanswered,Unanswered,Unanswered,,0,04/10/2020,Towne Bank,VA-03
c $1-2 million,SULLIVAN PAPAIN BLOCK MCGRATH COFFINAS & CANNAVO P.C.,120 Broadway 27th Fl,NEW YORK,NY,10271,541110,Corporation,Unanswered,Male Owned,Veteran,,99,04/27/2020,Empire State Bank,NY-10
"d $350,000-1 million","BUENA VISTA MANAGEMENT SERVICES, LLC",2045 1st Ave.,San Diego,CA,92101,624120,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,100,04/27/2020,Sonabank,CA-53
"e $150,000-350,000","MDPK, INC",3040 N State Rd,Davison,MI,48423,722410,Corporation,Unanswered,Male Owned,Non-Veteran,,43,04/27/2020,ELGA CU,MI-05
b $2-5 million,PRIORITY BUILDING SERVICES LLC,521 MERCURY LN,BREA,CA,92821,561720,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,500,04/15/2020,"U.S. Bank, National Association",CA-39
"e $150,000-350,000","SPECIALIZED SERVICES, INC.",1659 HUGH LOOP RD,PORT ALLEN,LA,70767,238210,Corporation,Unanswered,Male Owned,Non-Veteran,,16,05/03/2020,Hancock Whitney Bank,LA-06
"e $150,000-350,000",SK SERVICES INC,14865 SW 74TH AVE STE 160,PORTLAND,OR,97224,811490,Corporation,Unanswered,Unanswered,Unanswered,,15,05/03/2020,"Bank of America, National Association",OR-01
"e $150,000-350,000",MANNA LTD LLC,105 S. Logan Blvd,BURNHAM,PA,17009,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,04/14/2020,The Juniata Valley Bank,PA-12
"d $350,000-1 million",WAYNE CARMINT LANDSCAPING INC,220 E Dekalb Pike,KING OF PRUSSIA,PA,19406,484110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,40,04/09/2020,The Bryn Mawr Trust Company,PA-04
"d $350,000-1 million","R R CUNNIFF INVESTMENTS, INC.",1416 N MAIN AVE,SAN ANTONIO,TX,78212,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,70,04/08/2020,Broadway National Bank,TX-20
"e $150,000-350,000",TWIST OFFICE PARTNERS,945 EDGEWOOD AVE Suite A,WOOD DALE,IL,60191,424120,Sole Proprietorship,White,Female Owned,Non-Veteran,,,05/05/2020,West Pointe Bank,IL-05
c $1-2 million,"RAND GROUP SOLUTIONS, LLC",6575 WEST LOOP,BELLAIRE,TX,77401,541511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,81,04/04/2020,BBVA USA,TX-07
"e $150,000-350,000",BITTERSWEET CATERING,103 N Alfred St.,ALEXANDRIA,VA,22314,722310,Corporation,Unanswered,Male Owned,Non-Veteran,,21,04/12/2020,John Marshall Bank,VA-08
"e $150,000-350,000","TWIN COUNTY AIR-AG, INC.",214 Airport Road,Winnie,TX,77665,115112,Corporation,Unanswered,Unanswered,Unanswered,,13,04/11/2020,Third Coast Bank SSB,TX-14
"e $150,000-350,000","GORE INVESTMENTS, LLC",424 NORTHLAND AVE,APPLETON,WI,54911,811111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,04/05/2020,Nicolet National Bank,WI-08
"d $350,000-1 million","HAMMONDS RANCH, INC.",47375 W Dakota Ave,FIREBAUGH,CA,93622,111998,Corporation,Unanswered,Unanswered,Unanswered,,59,04/28/2020,Bank of Stockton,CA-21
"e $150,000-350,000",DAVID A LAWRENCE INC,3590 IRON CT,SHASTA LAKE,CA,96019,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,05/06/2020,Tri Counties Bank,CA-01
"d $350,000-1 million","COMMUNITY RECEIVING HOME, INC. D/B/A RENAISSANCE",6177 BAYOU RAPIDES RD,ALEXANDRIA,LA,71303,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,57,04/28/2020,BancorpSouth Bank,LA-05
"e $150,000-350,000","FCG GEORGETOWN, LLC",14679 Midway Rd Ste 100,Addison,TX,75001,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,05/01/2020,"JPMorgan Chase Bank, National Association",TX-24
"e $150,000-350,000","DECCO GRAPHICS, INC.",24411 FRAMPTON AVE,HARBOR CITY,CA,90710,541430,Corporation,Unanswered,Unanswered,Unanswered,,21,04/27/2020,Pacific Western Bank,CA-43
"d $350,000-1 million","TRIPLE G ENTERPRISES, INC.",14729 S New Ave,LOCKPORT,IL,60441,484220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/07/2020,Busey Bank,IL-03
"e $150,000-350,000",RHEW PLUMBING AND MECHANICAL INC,27613 COMMERCE CENTER DR,TEMECULA,CA,92590,238220,Corporation,White,Male Owned,Non-Veteran,,14,06/04/2020,BBVA USA,CA-42
"e $150,000-350,000","NORTHSTAR STEEL FABRICATING, INC.",753 WASHINGTON ST,RHINELANDER,WI,54501,332999,Corporation,Unanswered,Unanswered,Unanswered,,34,04/05/2020,Nicolet National Bank,WI-07
c $1-2 million,"R.R. CHARLEBOIS, INC.",950 ROUTE 7 South,MILTON,VT,05468,441110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,77,04/13/2020,"Community Bank, National Association",VT-00
c $1-2 million,NORTH EAST MOBILE HEALTH SERVICES,24 Washington Ave. N/A,Scarborough,ME,04074,621910,Subchapter S Corporation,White,Male Owned,Unanswered,,150,04/09/2020,Kennebec Savings Bank,ME-01
"e $150,000-350,000","COPE CENTER, INC",104 Bloomfield Avenue,Montclair,NJ,07042,623220,Cooperative,Unanswered,Unanswered,Unanswered,,19,04/28/2020,Valley National Bank,NJ-10
"e $150,000-350,000",SPANKY'S INC,131 N ROADRUNNER PKWY,LAS CRUCES,NM,88011,311520,Corporation,Hispanic,Male Owned,Non-Veteran,,79,04/13/2020,Pioneer Bank,NM-02
"e $150,000-350,000",BLUE LAKE PRESCHOOL INC,0189 J W DR UNIT C,CARBONDALE,CO,81623,624410,Non-Profit Childcare Center,Unanswered,Unanswered,Unanswered,Y,0,04/07/2020,Alpine Bank,CO-03
"e $150,000-350,000","BECKY DORNER & ASSOCIATES, INC.",546 SCOTLAND ST,DUNEDIN,FL,34698,611699,Corporation,Unanswered,Unanswered,Unanswered,,14,05/02/2020,"Bank of America, National Association",FL-12
"e $150,000-350,000",HAMILTON CHRISTIAN ACADEMY INC,1415 8TH ST,LAKE CHARLES,LA,70601,611110,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,0,04/29/2020,First Horizon Bank,LA-03
"e $150,000-350,000",HEIDI PIES RESTAURANT,1941 S EL CAMINO REAL 1941 S EL CAMINO REAL,SAN MATEO,CA,94403,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,,05/03/2020,"Wells Fargo Bank, National Association",CA-14
"e $150,000-350,000","HAINES &AMP; KRIEGER, LLC",8985 South Eastern Avenue 350,Las Vegas,NV,89123,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,05/03/2020,Cross River Bank,NV-03
"d $350,000-1 million",SPECO INC,3946 Willow St.,SCHILLER PARK,IL,60176,332215,Corporation,Unanswered,Unanswered,Unanswered,,,04/09/2020,First American Bank,IL-05
c $1-2 million,"R.W. BLOCK CONSULTING, LLC",2420 S Lakemont Ave,ORLANDO,FL,32814,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,57,04/13/2020,Valley National Bank,FL-07
"e $150,000-350,000","WINGLE CONSTRUCTION, INC.",1817 E Cobble Creek,MAHOMET,IL,61853,236116,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,04/28/2020,Busey Bank,IL-15
c $1-2 million,ES HOTEL ACQUISITION LLC,7701 E KELLOGG DR Suite 820,WICHITA,KS,67207,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,190,04/07/2020,CrossFirst Bank,KS-04
"e $150,000-350,000","DERMASSOCIATES, LTD.",3608 W Main Street,Belleville,IL,62223,621111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,11,04/10/2020,Bank of Belleville,IL-12
"e $150,000-350,000","AUDIO LOGIC PRO SOUND COMPANY, LLC",7512 WASHINGTON AVE S,EDEN PRAIRIE,MN,55344,532490,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,14,04/08/2020,"Merchants Bank, National Association",MN-03
"d $350,000-1 million",LATITUDE PHARMACEUTICALS INC.,9675 BUSINESSPARK AVE,SAN DIEGO,CA,92131,325412,Corporation,Unanswered,Male Owned,Non-Veteran,,28,05/01/2020,"JPMorgan Chase Bank, National Association",CA-52
"d $350,000-1 million",POLARIS DENTAL LAB GROUP INC.,2400 E CERRITOS AVE,ANAHEIM,CA,92806,339116,Corporation,Asian,Male Owned,Non-Veteran,,48,04/16/2020,Bank of Hope,CA-46
"e $150,000-350,000",HENRIETTA STOP INC,101 US Hwy 287 S,HENRIETTA,TX,76365,445120,Corporation,Unanswered,Unanswered,Unanswered,,41,04/06/2020,"Legend Bank, National Association",TX-13
"e $150,000-350,000","JOHNSON'S REAL ICE CREAM, LLC",2728 E. MAIN ST,BEXLEY,OH,43209,722515,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,47,04/07/2020,"WesBanco Bank, Inc.",OH-03
c $1-2 million,HEDREEN HOTEL TWO LLC,1635 8TH AVE,SEATTLE,WA,98101,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,166,05/11/2020,"U.S. Bank, National Association",WA-07
"e $150,000-350,000","PACIFIC CORNERSTONE ARCHITECTS, INC.","11750 Sorrento Valley Road, Suite 100",San Diego,CA,92121,541310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,04/27/2020,Endeavor Bank,CA-52
"e $150,000-350,000","YORK MANAGEMENT GROUP, LLC",10 Winslow Lane,SAINT LOUIS,MO,63131,561990,Limited  Liability Company(LLC),Unanswered,Female Owned,Unanswered,,42,04/15/2020,Enterprise Bank & Trust,MO-02
"d $350,000-1 million",MTM HOME CARE SERVICES LLC,571 Lake Ridge Drive,SAINT PAUL,MN,55126,621610,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,170,04/06/2020,North American Banking Company,MN-04
"e $150,000-350,000","MT. HOOD KIWANIS CAMP, INC",10725 SW Barbur Blvd Suite #50,Portland,OR,97219,813319,Professional Association,Unanswered,Unanswered,Unanswered,,55,04/28/2020,Columbia State Bank,OR-05
"d $350,000-1 million",EXCLUSIVE SERVICE AND MAINTENANCE CO,1961 Jacksonville Jobstown RD,COLUMBUS,NJ,08022,562111,Corporation,Unanswered,Unanswered,Unanswered,,36,04/11/2020,Columbia Bank,NJ-03
"d $350,000-1 million","OAK BROOK MECHANICAL SERVICES, INC.",961 S. Rt 83,ELMHURST,IL,60126,238220,Corporation,Unanswered,Unanswered,Unanswered,,0,04/05/2020,Busey Bank,IL-05
"d $350,000-1 million",ORCON INDUSTRIES CORP,8715 Lake,LE ROY,NY,14482,326112,Corporation,Unanswered,Unanswered,Unanswered,,80,04/06/2020,The Bank of Castile,NY-27
c $1-2 million,"LOS DOS POTRILLOS, LLC",8251 S. Holly Street,CENTENNIAL,CO,80122,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,128,04/06/2020,BBVA USA,CO-06
"d $350,000-1 million",AUTO GLASS SHOP LLC,2146 W SHERMAN ST,PHOENIX,AZ,85009,811122,Corporation,White,Male Owned,Unanswered,,0,04/13/2020,Cross River Bank,AZ-07
"e $150,000-350,000",DANIEL RODRIGUEZ D.V.M. LIMITED LLP,1350 FM 78,SCHERTZ,TX,78154,541940,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,20,04/14/2020,Broadway National Bank,TX-28
"e $150,000-350,000",ROOTERGUY LLC,4890 IRONTON ST,DENVER,CO,80239,238220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,04/28/2020,Congressional Bank,CO-01
"e $150,000-350,000",WESTBAY MANAGEMENT COMPANY,6350 W MICHIGAN AVE STE 100,LANSING,MI,48917,531110,Corporation,Unanswered,Unanswered,Unanswered,,28,05/03/2020,Fifth Third Bank,MI-07
"d $350,000-1 million","BARKAN MEIZLISH DEROSE WENTZ MCINERNEY PEIFER, LLP",250 E BROAD ST FL 10,COLUMBUS,OH,43215,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,26,04/10/2020,"JPMorgan Chase Bank, National Association",OH-15
"e $150,000-350,000","SOUTHERN CALIF. POTTERY, INC.",350 W SEPULVEDA BLVD,CARSON,CA,90745,444220,Corporation,Asian,Male Owned,Non-Veteran,,24,04/11/2020,East West Bank,CA-44
"e $150,000-350,000","PRETE BUILDERS, INC.",1605 SR 60 suite #6,VERMILION,OH,44089,236118,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,04/13/2020,The Huntington National Bank,OH-09
"e $150,000-350,000",PEPPERDINE'S MARKING PRODUCTS,790 Umatilla Street,DENVER,CO,80204,323111,Corporation,White,Male Owned,Non-Veteran,,33,04/13/2020,KeyBank National Association,CO-01
"e $150,000-350,000",DARREN BIDEAUX RV,1448 West 2100 South,OGDEN,UT,84401,441210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,04/14/2020,"Zions Bank, A Division of",UT-01
"d $350,000-1 million",TUCKER CONSTRUCTION GROUP INC,2411 CROFTON LN,CROFTON,MD,21114,236210,Corporation,Unanswered,Unanswered,Unanswered,,13,04/28/2020,"Wilmington Savings Fund Society, FSB",MD-05
"e $150,000-350,000","MP CLOUD TECHNOLOGIES, INC.",3005 South Lamar Blvd. Ste D109-136,AUSTIN,TX,78704,511210,Corporation,Unanswered,Unanswered,Unanswered,,18,04/14/2020,"TransPecos Banks, SSB.",TX-21
c $1-2 million,TSI USA LLC,8111 LBJ FREEWAY STE 900,DALLAS,TX,75251,812990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,103,04/10/2020,BBVA USA,TX-32
"e $150,000-350,000","CHAMPION CORROSION PRODUCTS, INC.",7070 State Highway 123 Sout,SEGUIN,TX,78155,237120,Corporation,Unanswered,Unanswered,Unanswered,,15,04/28/2020,Frost Bank,TX-15
"e $150,000-350,000",PAULGER & WISNIEWSKI DERMATOLOGY LLP,2202 ITHACA AVE,LUBBOCK,TX,79410,621111,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,22,04/04/2020,Amarillo National Bank,TX-19
"e $150,000-350,000",ENKRYPT LLC,724 South Spring Street 1103,Los Angeles,CA,90014,541512,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,06/17/2020,Celtic Bank Corporation,CA-34
"d $350,000-1 million",CONSTRUCTION CRAFT LABORERS TRAINING,104 INTERCHANGE PLZ Ste 301,MONROE TOWNSHIP,NJ,08831,451120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,20,04/28/2020,"Bank of America, National Association",NJ-12
"e $150,000-350,000",ADVENTURE GOLF CARTS LLC.,667 PERIMETER ROAD,GREENVILLE,SC,29605,441228,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,04/30/2020,First-Citizens Bank & Trust Company,SC-04
"d $350,000-1 million",GEM DRUGS INC,111 CENTRAL AVE,RESERVE,LA,70084,446110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,68,04/15/2020,Mississippi River Bank,LA-02
"d $350,000-1 million",MBG GROUP LLC,33 Hillman Rd.,LAKE DELTON,WI,53940,722511,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,67,04/08/2020,Bank of Wisconsin Dells,WI-02
"d $350,000-1 million","NMC METALS, INC.",310 N Pleasant Av 0.0,Niles,OH,44446,332999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36,04/10/2020,"JPMorgan Chase Bank, National Association",OH-13
"e $150,000-350,000","VERMONT INDUSTRIAL PRODUCTS, INC.",5 Corporate Drive,ESSEX JUNCTION,VT,05452,339991,Corporation,Unanswered,Unanswered,Unanswered,,10,04/08/2020,"Community Bank, National Association",VT-00
"e $150,000-350,000",TRUE NORTH ORAL SURGERY AND IMPLANTS PLLC,9950 Valley Creek Rd Suite 100,Woodbury,MN,55125,621210,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,25,04/27/2020,North American Banking Company,MN-04
"e $150,000-350,000",KYSAR MECHANICAL INC,26006 SEVEN MILE ROAD N,DAVENPORT,WA,99122,238220,Corporation,White,Female Owned,Non-Veteran,,14,04/08/2020,Wheatland Bank,WA-05
c $1-2 million,EASTER SEALS NORTH TEXAS INC,1424 HEMPHILL ST,FORT WORTH,TX,76104,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,98,04/09/2020,Frost Bank,TX-12
"d $350,000-1 million","FRYOUX TANKERMAN SERVICE OF TEXAS, INC",915 SOUTH 8TH ST UNIT 2,LA PORTE,TX,77571,488490,Corporation,Unanswered,Unanswered,Unanswered,,20,04/15/2020,First National Bank USA,TX-36
"e $150,000-350,000",EDUARDO COSIO P.A.,"1430 S Dixie Highway, Suite 202",MIAMI,FL,33146,541110,Corporation,Unanswered,Male Owned,Veteran,,10,04/09/2020,Truist Bank d/b/a Branch Banking & Trust Co,FL-27
"d $350,000-1 million","WALNUT CREEK LUXURY CARS, LLC",2330 N. Main St 0.0,Walnut Creek,CA,94596,441110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,04/10/2020,"JPMorgan Chase Bank, National Association",CA-11
"d $350,000-1 million",THE BG GROUP LLC,15560 LYONS RD,DELRAY BEACH,FL,33446,238910,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,95,04/08/2020,"Amerant Bank, National Association",FL-21
"e $150,000-350,000",CLEARSTREAM ENVIRONMENTAL INC,9547 500  S,SANDY,UT,84070,333249,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,14,04/14/2020,"U.S. Bank, National Association",UT-04
"e $150,000-350,000",B&JCM HOSPITALITY GROUP LLC,3895 NW 107TH AVE,DORAL,FL,33178,721110,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,0,04/10/2020,"Amerant Bank, National Association",FL-25
c $1-2 million,"MOTIVE ENERGY, INC.",125 E. COMMERCIAL ST,ANAHEIM,CA,92801,423610,Corporation,Unanswered,Unanswered,Unanswered,,131,04/14/2020,Fifth Third Bank,CA-46
"e $150,000-350,000",SWANSON GARDNER MEYERS PLLC,4512 TALBOT RD S,RENTON,WA,98055,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,05/06/2020,"U.S. Bank, National Association",WA-09
"e $150,000-350,000",MCCURDY SCHOOLS OF NORTHERN NEW MEXICO,362 A S MCCURDY RD,ESPANOLA,NM,87532,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/09/2020,Century Bank,NM-03
"e $150,000-350,000","K ELECTRIC HUNTSVILLE, INC",2464 Highway 72 E,HUNTSVILLE,AL,35811,238210,Corporation,Unanswered,Male Owned,Unanswered,,31,04/06/2020,Progress Bank and Trust,AL-05
