id,name,sponsor,event,venue,place,physical_description,notes,occasion,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status
14214,,NIPPON YUSEN KAISHA - S.S.ROSETTA MARU,DINNER,COM,EN ROUTE,FOLDER; JAPANESE SCENE;COL; 5 X 7.5;,menu handwritten; cover is map of trip;,,1901-1980,,,1901-07-21,Nippon Yusen Kaisha   S.S.Rosetta Maru,,,,complete
32306,Hotel Traymore,Hotel Traymore,,,,28x20.5cm,,,1918-0182_wotm,,,1918-01-01,Hotel Traymore,,Dollars,$,complete
35298,Astor House,Astor House,,,,,comision naval argentina,,1913-0526_wotm,,,1913-05-28,Astor House,,Dollars,$,complete
17697,,,,,,,,,,,,1900-05-09,Phililexian Society Of Columbia University,,,,under review
26493,,Hoteles Balsa,,"HOTEL,RESTAURANT",Las Piramides,Folder; 9 x 12.25 inches,dieter zander collection.,,Zander 165 undated,,,,Hoteles Balsa,,Mexican pesos,$,complete
30022,,Comstock Room Of The Palace Hotel,,,,24x16cm folded; 24x31.5cm open,,,1948-0029_wotm,,,1948-03-16,Comstock Room Of The Palace Hotel,,,,complete
31077,,The Ambassador,,,,33x23cm,,,1933-0151_wotm,,,1933-05-15,The Ambassador,,Dollars,$,complete
31537,,S.S. Malolo,,,,23x16cm folded; 23x32cm open,,,1928-0026_wotm,,,1928-10-21,S.S. Malolo,,,,complete
30225,,"S.S. ""Pennland""""""",,,,26x18cm,,,1939-0177_wotm,,,1939-09-28,"S.S. ""Pennland""""""",,,,complete
23818,,SAINT NICHOLAS SOCIETY,DINNER,SOC;,DELMONICO'S NY,BOOKLET JOINED BY SILK RIBBON; ILLUS; COL; 4.5 X 7;,wine list & prices on separate page;,?,1899-799,,,1899-12-06,Saint Nicholas Society,,Dollars,$,complete
32140,Hotel McAlpin,Hotel McAlpin,,,,25.5x18.5cm folded; 25.5x37cm open,,,1916-0055_wotm,,,1916-04-02,Hotel McAlpin,,,,complete
27218,,Forbidden City,daily menu,RESTAURANT,Forbidden City,12 x 9 in. fold. ; ill.,chinese restaurant menu. includes american and chinese menus.,,Soete 66,,,1943-01-01,Forbidden City,,Dollars,$,complete
28607,,Plums Charcuterie And Outdoor Café,,,,20x21.5cm folded; 35.5x21.5cm open,,,1985-0043_wotm,,,1985-07-01,Plums Charcuterie And Outdoor Café,,Dollars,$,complete
30690,,S.S. Manhattan,,,,25.5x18cm folded; 25.5x36cm open,new year's cruise to havana,,1937-0196_wotm,,,1937-12-30,S.S. Manhattan,,,,complete
21662,,PI CHAPTER OF KAPPA SIGMA,EIGHTH ANNUAL BANQUET,SOC;,HOTEN STENTON,BOOKLET; ILLUS; 5.25X6.5;,"fraternity seal & peace pipe on cover; toasts & committe listed; silk cord attachment; in miss buttolph's handwriting: ""philadelphia, pa;""",OTHER (ANNIVERSARY);,1896-053,,,1896-02-22,Pi Chapter Of Kappa Sigma,,,,complete
26361,,Pan American,,AIRLINE,,,dieter zander collection; cover design for hawaii by lillian sader.,,Zander 25 undated,,,,Pan American,,,,complete
31735,,Rathskeller,,,,19.5x15cm folded;19.5x29.5cm open,dinner in honor of mrs. john humphrey watkins given by the woman's democratic club of white plains,,1920-0086_wotm,,,1920-01-12,Rathskeller,,,,complete
12504,,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,flag; priced wine list and exchange rates on back;,,1900-1131,,,1900-02-18,U.S.M.S. New York,,Dollars,$,complete
27964,,"Rms \Queen Elilzabeth 2\""""",,,,30x21cm folded; 30x42cm open,,,1974-0014_wotm,,,1974-10-27,Queen Elizabeth 2,,,,complete
34874,South Shore Country Club,South Shore Country Club,,,,,eighth international congress of applied chemistry,,1912-0596_wotm,,,1912-01-01,South Shore Country Club,,,,complete
12754,,EVERETT HOUSE,BREAKFAST,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",FOLDER;ILL;COL;7X11L,emblem and decoration on front cover;handwritten date by fb;wine list on back;,DAILY;,1900-2930,,,1900-04-23,Everett House,,Dollars,$,complete
31265,,Hotel Astor,,,,34.5x23cm,,,1933-0045_wotm,,,1933-02-12,Hotel Astor,,Dollars,$,complete
20586,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS CITY OF RIO DE JANEIRO,FOLDER;ILLUS;COL;5.5X8.75;,decorative border;ship at sea;2 copies;,DAILY MENU;,1900-3537,,,1900-06-04,Pacific Mail Steamship Company,,,,complete
32624,Healy's Forty-second Street restaurant,Healy's Forty-second Street restaurant,,,,33x18cm,dinner,,1918-0357_wotm,,,1918-03-08,Healy's Forty-second Street restaurant,,Dollars,$,complete
29896,,Palm Beach Hotel,,,,24x16cm,,,1947-0048_wotm,,,1947-12-29,Palm Beach Hotel,,,,complete
21064,,238 EIGHT AVENUE,DINNER,COMMERCIAL,"238 EIGHTH AVENUE, BETWEEN 22ND AND 23RD STREETS, NEW YORK, NY",BROADSIDE; 6.5 X 11;,priced menu;,,1905-519,,,1905-06-28,238 Eight Avenue,,Dollars,$,complete
30041,,The Waldorf Astoria,,,,29x20.5cm folded; 29x40.5cm open,luncheon menu,,1948-0048_wotm,,,1948-07-01,The Waldorf Astoria,,Dollars,$,complete
12569,,MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 4.25X6.25,elaborate printing of hotel name forms illustration;,,1900-2397,,,1900-03-12,Maxwell House,,,,complete
25384,,CIE.GLE. TRANSATLANTIQUE,LUNCH,COMMERCIAL,PAQUEBOAT LA GASCOGNE,BROADSIDE; ILLUS; 6 X 9.5;,photo of gorge; french translated into english;,,1894-008,,,1894-01-15,Cie.Gle. Transatlantique,,,,complete
13212,,AMERICAN CLIMATOLOGICAL ASSOCIATION,DINNER,PROF;,"CATARACT HOUSE, NIAGARA FALLS, NY",FOLDER; 4.75 X 7;,wines listed;,[ANNUAL],1901-1506,,,1901-05-31,American Climatological Association,,,,complete
31716,,The Mouquin Restaurant And Wine Co.,,,,35.5x38cm,menu is falling apart,,1920-0058_wotm,,,1920-05-18,The Mouquin Restaurant And Wine Co.,,Dollars,$,complete
25160,,S.O.T.Q. BOWLING CLUB,20TH ANNUAL DINNER,SOC;,"MANHATTAN HOTEL,NY",FOLDER; ILLUS; 4.5 X 7.;,officers listed; scores for each player included;,ANNUAL,1899-460,,,1899-06-03,S.O.T.Q. Bowling Club,,,,complete
31091,,The Commodore Hotel,,,,19.5x14cm,grill room luncheon,,1933-0193_wotm,,,1933-05-16,The Commodore Hotel,,,,complete
35415,Hotel Oakland,Hotel Oakland,,,,,citizens of the city of oakland,,1913-0646_wotm,,,1913-07-26,Hotel Oakland,,,,complete
30731,,Hotel Vancouver,,,,27x19.5cm,,,1935-0043_wotm,,,1935-07-13,Hotel Vancouver,,Canadian Dollars,C$,complete
21254,,ROYAL POINCIANA,DINNER,COMMERCIAL,"PALM BEACH,FL",CARD;ILLUS;COL;5X9;,emblem;,DAILY;,1901-302,,,1901-01-06,Royal Poinciana,,,,complete
32858,Delmonicos,Delmonicos,,,,30.5x22cm,,,1917-0159_wotm,,,1917-10-25,Delmonicos,,Dollars,$,complete
13225,,BALTIMORE HOTEL,CLUB LUNCHEON,COMMERCIAL,,CARD; 4.25X7;,"a la carte menu for this hotel which is part of a chain, but the exact location of this particular one is not certain, presumably baltimore, md;",,1900-3627,,,1900-06-13,Baltimore Hotel,,Dollars,$,complete
20331,,TOYO KISEN KAISHA,TIFFIN,COMMERCIAL,EN ROUTE ABOARD SS HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,"b&w photographs of various points of interest in america, hawaii, china;japan;",DAILY MENU;,1900-4416,,,1900-09-20,Toyo Kisen Kaisha,,,,complete
34538,Waldorf-Astoria,Waldorf-Astoria,,,,,american association of freight traffic officers,,1912-0722_wotm,,,1912-01-01,Waldorf-Astoria,,Dollars,$,complete
34887,Copley-Plaza Hotel,Copley-Plaza Hotel,,,,,rightside of menu is printed in french,,1912-0609_wotm,,,1912-02-10,Copley-Plaza Hotel,,,,complete
21418,,WAUMBEK,DINNER MENU,COMMERCIAL,"JEFFERSON, NH",BROADSIDE; 4.5X7;,hotel or inn?,,1896-154,,,1896-08-17,Waumbek,,,,complete
32194,"S.S. ""Frederik VIII""","S.S. ""Frederik VIII""",,,,18x11cm folded; 18x22cm open,menu also printed in swedish,,1916-0109_wotm,,,1916-07-29,"S.S. ""Frederik VIII""",,,,complete
19458,,,,,,,,,,,,1900-04-19,Occidental And Oriental Steamship Co.,,,,complete
32351,Ye Peg Woffington Coffee House,Ye Peg Woffington Coffee House,,,,22.5x18cm folded; 22.5x36cm open,,,1918-0227_wotm,,,1918-02-04,Ye Peg Woffington Coffee House,,Dollars,$,complete
29782,,Golden State Limited,,,,25x16.5cm folded; 25x33cm open,,,1946-0011_wotm,,,1946-01-01,Golden State Limited,,Dollars,$,complete
23443,,SAN FRANCISCO LUMBER DEALERS EXCHANGE,THIRD ANNUAL BANQUET,PROF;,"PALACE HOTEL, SAN FRANCISCO, CA",BOOKLET; COL; 4.75 X 6;,green print;,ANNIVERSARY;,1907-069,,,1907-01-12,San Francisco Lumber Dealers Exchange,,,,complete
21275,,DUKE'S HOUSE CAFE AND RESTAURANT,MENU,COMMERCIAL,"HOBOKEN, NJ",FOLDER; ILLUS; 8.6X14;,a la carte menu; specials handwritten in violet ink; includes priced wine list; decorative border;,,1906-583,,,1906-07-18,Duke's House Cafe And Restaurant,,Dollars,$,complete
32237,Lawyers Club,Lawyers Club,,,,17.5x11cm,the lawyers club,,1916-0152_wotm,,,1916-11-18,Lawyers Club,,,,complete
25798,,UNIVERSITY OF THE CITY OF NEW YORK,ANNUAL DINNER OF ASSOCIATION OF ALUMNI,EDUC;,DELMONICO'S,FOL; 6.5 x 9.5;,"detached large cardboards; french; includes priced wine list; program includes toasts, music by university quartette, short talks; list of alumni association officers",OTHER (ALUMNI REUNION);,1888-011,,,1888-01-25,University Of The City Of New York,,Dollars,$,complete
27460,,NORDEUTSCHER LLOYD BREMEN,LUNCH,STEAMSHIP,ABOARD S.S. BERLIN,CARD; COL; 5.5 X 9.25,menu in german and english; gold border,,1910-780,,,1910-03-12,Nordeutscher Lloyd Bremen,,,,complete
25281,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,SS HOHENZOLLERN,CARD;ILL;COL;5.5X8.25;,complex illustration;menus separate in german and english;may be used as postcard;,DAILY;,1901-921,,,1901-04-14,Norddeutscher Lloyd Bremen,,,,complete
25046,,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA,FLA.",BROADSIDE; HOTEL EMBLEM; COL; 4.5 X 7;,,,1901-626,,,1901-03-10,Tampa Bay Hotel,,,,complete
30695,,Twin Grill,,,,25.5x16.5cm folded; 25.5x33cm open,,,1937-0107_wotm,,,1937-01-01,Twin Grill,,Dollars,$,complete
27334,,Hotel Gramercy Park,dinner,RESTAURANT,Hotel Gramercy Park; 52 Gramercy Park North,"broadside; 8.25 x 11.75 inches; water stain (bottom, right)","baratta collection; illustrations (front); color (front); ""served in dining room from 12 noon to 8:30 p.m.""; complete dinner and a la carte pricing",SECULAR HOLIDAY,Baratta 42,,,1955-05-08,Hotel Gramercy Park,,Dollars,$,complete
15719,,,,,,,,,,,,1900-09-22,U.S.M.S.,,Dollars,$,complete
20807,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,EN ROUTE ABOARD DAMPFER KRONPRINZ WILHELM,CARD; ILLUS; COL; 5.5 X 8.25;,menu in german and english; illustraion of men and women on deck; back of menu imprinted for use as postcard;,,1901-2514,,,1901-10-15,Norddeutscher Lloyd Bremen,,,,complete
34467,Hotel Astor,Hotel Astor,,,,20.5x13cm folded; 20.5x26cm open,new york credit men's association,,1913-0090_wotm,,,1913-01-23,Hotel Astor,,,,complete
21368,,RED STAR LINE SS FRIESLAND,BREAKFAST,COMMERCIAL,ENROUTE,BROADSIDE; ILLUS; COL; 5 X 8;,menu handwritten;,,1900-099,,,1900-01-10,Red Star Line Ss Friesland,,,,complete
22270,,MINISTER OF AUSTRIA,DINNER,GOVT;,"WASHINGTON, DC",FOLDER; COLOR;3X5;,handwritten; pink; guests listed on envelope; name of guest on menu [placecard?],OTHER (SOC),1888-079,,,1888-12-10,Minister Of Austria,,,,complete
29369,,S.S.America,,,,28x19cm,,,1954-0003_wotm,,,1954-01-01,S.S.America,,,,complete
29198,,Hotel Commodore   Bar Café,,,,30x22cm folded; 30x44cm open,,,1951-0021_wotm,,,1951-05-24,Hotel Commodore   Bar Café,,Dollars,$,complete
20123,,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,"S.S. ""CITY OF PARA""",BROADSIDE; ILLUS; 5.75X8.75;,decorative border;,,1900-2965,,,1900-04-25,Pacific Mail Steamship Company,,,,complete
31499,,"""Paris""""""",,,,21.5x15.5cm folded; 21.5x31cm open,,,1931-0014_wotm,,,1931-05-31,"""Paris""""""",,,,complete
20514,,NORDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,FOLDER; COL; ILLUST; 5.5 X 7.5;,menu in german and english; illustration of ship;  musical program; note in german and english requesting voluntary contributions for musicians;,,1901-1933,,,1901-07-10,Nordeutscher Lloyd Bremen,,,,complete
13122,,HOTEL MAJESTIC,DINNER,COMMERCIAL,"CENTRAL PARK WEST, 72ND & 71ST STS., NEW YORK, [NY];",CARD; 6.75X11.0;,,,1900-2540,,,1900-03-21,Hotel Majestic,,Dollars,$,complete
26545,,La Taverna,,RESTAURANT,La Taverna,Booklet; 9 x 12.5 inches; laminated,dieter zander collection.,,Zander 220 undated,,,,La Taverna,,Deutsche Marks,DM,complete
20951,,U.S.M.S.,BREAKFAST,NAV;,"ON BOARD ""NEW YORK""",CARD; ILLUS; 3.75X6;,maritime flag at top;,,1900-5034,,,1900-12-15,U.S.M.S.,,,,complete
33329,Union Club,Union Club,,,,,,,1915-0068,,,1915-01-01,Union Club,,,,complete
15251,,,,,,,,,,,,1900-10-02,Lehigh Valley Railroad,,Dollars,$,complete
16040,,,,,,,,,,,,1901-09-01,Louisville & Nashville Railroaad   The Pullman Co.,,Dollars,$,complete
20844,,RED STAR LINE,LUNCH,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,CARD; ILLUS; 5X8;,handwritten; garland of cook and cooking utensils;,,1900-2294,,,1900-03-05,Red Star Line,,,,complete
31933,,"S.S. ""George Washington""""""",,,,23x15cm folded; 23x30cm open,breakfast,,1921-0119_wotm,,,1921-10-21,"S.S. ""George Washington""""""",,,,complete
28537,,S.S. Flandre,,,,27x21cm folded; 27x42cm open,english is secondary language,,1957-0075_wotm,,,1957-08-01,S.S. Flandre,,,,under review
31474,,"T.N. ""Conte Di Savoia""""""",,,,20x14cm folded; 20x28cm open,,,1932-0043_wotm,,,1932-12-18,"T.N. ""Conte Di Savoia""""""",,,,complete
30582,,Hotel Saskatchewan,,,,25.5x16cm,,,1937-0057_wotm,,,1937-03-10,Hotel Saskatchewan,,Canadian Dollars,C$,complete
24291,,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,"SCHNELLDAMPFER ""AUGUSTE VICTORIA""",CARD; ILLUS; COL; 5 X 8;,"german & english; illustration of woman in classical dress holding shield with initials h.p.a.a.g., and steamer;",,1901-697,,,1901-03-19,Hamburg Amerika Linie,,,,complete
31824,,Hotel Mc Alpin,,,,17x11.5cm folded; 17x23cm open,columbia county association in the city of new york,,1921-0005_wotm,,,1921-01-22,Hotel Mc Alpin,,,,complete
23605,,NORDDEUTSCHER LLOYD BREMEN,SPEISENFOLGE,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",FOLDER; ILLUS; COL; 5.25X7.5;,german & english; illustration of steamship at sea; concert programm on back cover;,,1901-824,,,1901-04-02,Norddeutscher Lloyd Bremen,,,,complete
23040,,U.S.S. LOUISIANA,DAILY MENU,NAV;,AT SEA,BROADSIDE; 3.5X5.75;,,,1906-835,,,1906-11-18,U.S.S. Louisiana,,,,complete
24190,,ST. REGIS HOTEL,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,french and english;,,1906-087,,,1906-01-25,St. Regis Hotel,,Dollars,$,complete
25446,,CIE. GLE. TRANSATLANTIQUE,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA CHAMPAGNE,FOLDER; 4.5 X 7.75; ILLUS; COL;,menu in french and english; colored ads in foldout;,,1900-675,,,1900-02-01,Cie. Gle. Transatlantique,,,,complete
14396,,REVELSTOKE HOTEL,DINNER,COMMERCIAL,,CARD; 5X7.25;,menu handwritten in black ink;,,1901-2079,,,1901-08-02,Revelstoke Hotel,,,,under review
31481,,Hotel Mc Alpin,,,,34x26cm,grill room luncheon,,1932-0050_wotm,,,1932-12-07,Hotel Mc Alpin,,Dollars,$,under review
26969,,Allard,,RESTAURANT,Allard,Paper; 8.25 x 10.5 inches,dieter zander collection.,,Zander 569,,,,Allard,,Francs,FF,complete
31647,,Plaza Hotel,,,,23x15.5cm folded; 23x31cm open,the vermont society,,1926-0006_wotm,,,1926-02-15,Plaza Hotel,,,,complete
29039,,Hotel Lacher,,,,33x23cm,,,1964-0044_wotm,,,1964-12-27,Hotel Sacher,,Austrian Schillings,S,complete
26505,,Cafe Martin,,RESTAURANT,Cafe Martin,Folder; 5.25 x 7.5 inches,dieter zander collection; front is a drawing and description of the first automobile in montreal; back is a drawing and description of beaver lake.,,Zander 177 undated,,,,Cafe Martin,,Canadian Dollars,C$,complete
28402,,The Amen Corner,,,,28x18cm,,,1958-0050_wotm,,,1958-08-06,The Amen Corner,,Dollars,$,complete
14078,,NORDEUTSCHER LLOYD BREMEN,SUPPER(?),COMMERCIAL,EN ROUTE ABOARD SS FRIEDRICH DER GROSSE,CARD; COL; ILLUS; 5.5 X 8;,menu in german; illustration of steamer and rocky shore; back of menu imprinted for use as a postcard;,,1901-1943,,,1901-07-11,Nordeutscher Lloyd Bremen,,,,complete
25100,,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,STEAMSHIP KAISER WILHELM DER GROSSE,CARD;ILL;COL;5.5X8.25;,separate english and german listing;to be used as a postcard;,DAILY;,1899-722,,,1899-11-17,Norddeutscher Lloyd Bremen,,,,complete
29806,,Southern Pacific,,,,21.5x14cm folded; 21.5x28cm open,,,1946-0035_wotm,,,1946-03-01,Southern Pacific,,Dollars,$,complete
35250,[Restaurant name and/or location not given],[Restaurant name and/or location not given],,,,,progressive dinner conference,,1913-0478_wotm,,,1913-05-12,[Restaurant name and/or location not given],,,,complete
33886,Ye Olde Dutch Tavern,Ye Olde Dutch Tavern,,,,28x18cm,,,1914-0587_wotm,,,1914-06-09,Ye Olde Dutch Tavern,,Dollars,$,complete
20795,,OCEANIC STEAMSHIP COMPANY,LUNCHEON,COMMERCIAL,VENTURA,CARD;,flag;,DAILY;,1901-1096,,,1901-05-01,Oceanic Steamship Company,,,,under review
24322,,TYNY COED,LUNCH,,CAMPOBELLO ISLAND,CARD;ILL;COL;3 3/4X5.5,"handwritten inserts under printed items;place name,place,lunch in maroon",LUNCH,1881-039,,,1881-01-01,Tyn Y Coed,,,,complete
34473,Hotel Manhattan,Hotel Manhattan,,,,22x14cm folded; 22x28cm open,"the delaware valley society of the state of new york, new york city",,1913-0096_wotm,,,1913-01-25,Hotel Manhattan,,,,complete
23395,,HOBOKEN BOARD OF TRADE,ANNUAL BANQUET,GOVT;,"DUKE'S HOUSE, (HOBOKEN, NJ?)",BOOKLET; ILLUS; 8.5 X 10.5;,wines with each course; engravings of ships and explorers; song lyrics; toasts;,ANNIVERSARY;,1906-111,,,1906-01-30,Hoboken Board Of Trade,,,,complete
14437,,HOTEL LANGWELL,"DAILY MENU, DINNER",COMMERCIAL,"ELMIRA, NY",CARD; ILLUS; 5.5X7;,,,1907-1068,,,1907-12-14,Hotel Langwell,,,,complete
31115,,The Ambassador,,,,33x23cm,,,1933-0164_wotm,,,1933-05-25,The Ambassador,,Dollars,$,under review
17699,,,,,,,,,,,,1900-05-09,German Restaurant And Buffet,,Dollars,$,complete
22580,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,SS AUGUSTE VICTORIA,FOLDER;ILL;COL;4.5X7;,"ships at sea;menu listed twice,in english and german;musical program;musician pictured;",DAILY;,1901-795,,,1901-03-30,Hamburg Amerika Linie,,,,complete
29926,,Hotel Commodore,,,,21.5x14cm folded; 21.5x28cm open,luncheon in honor of harry d. schmedes,,1949-0016_wotm,,,1949-04-28,Hotel Commodore,,,,complete
20562,,PACIFIC MAIL STEAMSHIP COMPANY,DINNER,COM,SS CITY OF PARA,FOLDER; 6.0X9.25;,2 copies,DAILY,1900-3071,,,1900-05-02,Pacific Mail Steamship Company,,,,complete
16943,,STATLER'S HOTEL AND RESTAURANT,BREAKFAST,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",CARD; COL; ILLUS; 5.75 X 8;,green illustration of hotel and buffalo exposition (?);,,1901-1815,,,1901-07-02,Statler's Hotel And Restaurant,,,,complete
31246,,Hotel Astor,,,,34.5x23cm,,,1933-0026_wotm,,,1933-02-05,Hotel Astor,,Dollars,$,complete
13826,,NORDDEUTSCHER LLOYD - BREMEN,ABENDESSEN,COMMERCIAL,"EN ROUTE -SS ""LAHN""",CARD; ILLUS; COL; 5.5.X 8.25;,menu in both german & english;,,1901-1241,,,1901-05-11,Norddeutscher Lloyd   Bremen,,,,complete
33435,S.S. Frederik VIII,S.S. Frederik VIII,,,,,,,1915-0174,,,1915-01-01,S.S. Frederik VIII,,,,complete
26348,,Pan American,,AIRLINE,,Booklet; 9.75 x 12.5 inches,"dieter zander collection, cover is a reproduction of an authentic currier & ives clipper ship print depicting clipper ship ""the three brothers""; 1 of 2.",,Zander 12,,,1969-12-01,Pan American,,,,complete
35445,Waldorf Astoria,Waldorf Astoria,,,,,1 image,,1913-0676_wotm,,,1913-08-28,Waldorf Astoria,,Dollars,$,complete
15498,,,,,,,,,,,,1901-05-06,Fifth Avenue Hotel,,,,complete
30907,,Waldorf Astoria,,,,28x20.5cm folded; 28x41cm open,metropolitan life insurance company,,1938-0051_wotm,,,1938-04-20,Waldorf Astoria,,,,complete
29965,,Sheraton Hotel,,,,19x15cm folded; 19x30.5cm open,,,1949-0055_wotm,,,1949-10-29,Sheraton Hotel,,,,complete
20749,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD SS. KASUGA,BROADSIDE; 5.25 X 7.75;,handwritten; red ornamental border;,,1900-4195,,,1900-08-31,Nippon Yusen Kaisha,,,,complete
16428,,,,,,,,,,,,1907-12-30,Delegates Of Nicaragua And Honduras To The Central American Peach Conference,,,,complete
24079,,BLATT COUNTY MEDICAL SOCIETY,ANNUAL DINNER,PROF;,"LOGAN HOUSE, ALTOONA, PA",BOOKLET; ILLUS; COL; 5.5X7.5;,toast programme; music programme; floral wreaths on cover;,ANNIVERSARY;,1901-167,,,1901-01-24,Blair County Medical Society,,,,complete
26672,,La Posada de Santa Fe,,"HOTEL,RESTAURANT",The Staab House Restaurant; 330 East Palace Avenue,Booklet; 7.75 x 12 inches; gold cord,dieter zander collection.,,Zander 512 undated,,,,La Posada De Santa Fe,,Dollars,$,complete
23468,,HOTEL HANOVER,CHRISTMAS DINNER,COMMERCIAL,PHILADELPHIA [PA],BOOKLET;ILL;COL;5.5X7;,front cover identical to 1899-887 with the addition of ribbon on top left;hotel pictured on back cover;,RELIGIOUS HOLIDAY,1899-893,,,1899-12-25,Hotel Hanover,,,,complete
23436,,MERCHANTS' CLUB,ANNUAL BANQUET,COMMERCIAL,"HOTEL METROPOLE, PHILADELPHIA, PA",BOOKLET; ILLUS; COL; 5.5X6.5;,includes wines served with individual courses; illustrations of all types  of industry & farming on cover; menu items followed by literary quotations; includes members & guests lists; silk ribbon attachment,ANN;,1895-015,,,1895-01-19,Merchants' Club,,,,complete
13259,,UNITED STATES HOTEL,DINNER,COMMERCIAL,"SARATOGA SPRINGS, NY",CARD; ILLUS; COL; 5.5X9.25;,table d'hote menu; eagle at top of menu;,,1900-3943,,,1900-07-24,United States Hotel,,,,complete
32927,Hotel Belmont,Hotel Belmont,,,,16.5x21.5cm,,,1917-0667_wotm,,,1917-11-25,Hotel Belmont,,Dollars,$,complete
31584,,John L. Schoenfeld Co. Inc.,,,,15.5x12cm folded; 15.5x24cm open,beefsteak dinner in celebration of their twenty fifth year of faithful service.,,1929-0015_wotm,,,1929-05-21,John L. Schoenfeld Co. Inc.,,,,complete
20250,,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,EN ROUTE ABOARD FURST BISMARCK,FOLDER; ILLUS; COL; 4.5 X 6.75;,menu in german and english; illustation of ship at sea and in drydock; musical program;,,1901-1702,,,1901-06-20,Hamburg Amerika Linie,,,,complete
30776,,"Paquebot ""Paris""""""",,,,27.5x21.5cm folded; 27.5x43cm open,menu also contains english text,,1934-0017_wotm,,,1934-06-04,"Paquebot ""Paris""""""",,,,complete
25246,,SOUTHERN RAILWAY INSPECTION TRIP,"INSPECTION TRIP, BREAKFAST",COMMERCIAL,ATLANTA,CARD; 5.5 X 6.5;,,,1905-852,,,1905-11-14,Southern Railway Inspection Trip,,,,complete
28167,,St. Regis Roof,,,,14x10cm,,,1967-0057_wotm,,,1967-11-09,St. Regis Roof,,,,complete
20026,,SOUTHERN PACIFIC COMPANY,LUNCHEON,COMMERCIAL,SUNSET OGDEN & SHASTA ROUTES,CARD;ILLUS;COL;5.5X8.5;,handwritten 1900 in pencil;printed menu with stamped items;one of 2 menus with different stamped items;,DAILY;,1900-4846,,,1900-01-01,Southern Pacific Company,,Dollars,$,complete
22966,,CHAMBER OF COMMERCE,115TH ANNIVERSARY,PROF.,"DELMONICO, [NEW YORK, NY?]",FOLDER; 5 x 7.25;,french,OTHER - ANNIVERSARY,1883-023,,,1883-05-08,Chamber Of Commerce,,,,under review
20311,,CONGRESS HALL,LUNCHEON,COMMERCIAL,"SARATOGA SPRINGS, NY",BROADSIDE; ILLUS; 5X7.25;,"table d'hote menu; monogram ""ch"" at top of menu; sponsor & place info indicated by special dishes named ""congress hall;""",,1900-4016,,,1900-08-08,Congress Hall,,,,complete
29566,,Strawberry Inn,,,,29.5x16.5cm folded; 29.5x33cm open,,,1955-0113_wotm,,,1955-01-01,Strawberry Inn,,Dollars,$,complete
25765,,IRVING CLUB,FIFTH ANNUAL DINNER,SOC;,"DELMONICO'S, NY",CARD; ILLUS; 4.25X7;,black and white drawings [washington irving's house?]; french;,(SOCIAL),1888-031,,,1888-04-03,Irving Club,,,,complete
29188,,King's Arms Tavern,,,,24x13cm folded; 24x26cm open,,,1951-0011_wotm,,,1951-08-01,King's Arms Tavern,,Dollars,$,complete
25083,,A.W.DENNETT,DAILY BILL OF FARE;,COMMERCIAL,"393 FULTON STREET,NY",BROADSHEET;ILLUS;COL;5X9;,all items listed with prices;other branches listed on back;,,1894-046,,,1894-04-01,A.W.Dennett,,Dollars,$,complete
23412,,COLONIAL HOTEL,LUNCHEON,COMMERCIAL,"CLEVELAND,OHIO",BROADSIDE; HOTEL EMBLEM; COL; 3.5 X 9;,,,1901-132,,,1901-01-20,Colonial Hotel,,,,complete
31343,,The Commodore Hotel,,,,19.5x14cm,grill room luncheon,,1933-0251_wotm,,,1933-05-24,The Commodore Hotel,,,,complete
31972,U.S.S. North Dakota,U.S.S. North Dakota,,,,18x10.5cm folded; 18x21cm open,,,1919-0021_wotm,,,1919-02-22,U.S.S. North Dakota,,,,complete
